net,length_um
clk,175.97µm
net2,32.26µm
clknet_0_clk,25.3µm
clknet_1_1__leaf_clk,24.5µm
_05_,24.48µm
net4,21.48µm
net1,19.93µm
net3,19.34µm
net5,16.94µm
clknet_1_0__leaf_clk,16.62µm
_00_,13.72µm
net6,12.28µm
rst_n,11.69µm
count[1],10.81µm
net9,10.2µm
net11,9.66µm
net7,8.1µm
count[2],7.11µm
count[3],5.75µm
net8,5.5µm
count[0],5.07µm
_04_,4.88µm
_02_,3.88µm
_01_,3.68µm
_03_,2.18µm
net10,2.04µm
