net,length_um
clk,172.15µm
clknet_0_clk,37.32µm
net2,32.86µm
net3,30.36µm
net5,29.98µm
clknet_1_1__leaf_clk,29.56µm
net1,27.16µm
net4,22.9µm
_05_,21µm
net9,17.42µm
clknet_1_0__leaf_clk,13.58µm
net6,9.7µm
_04_,7.96µm
_03_,7.74µm
_00_,6.94µm
count[3],5.75µm
count[0],5.07µm
count[2],5.07µm
rst_n,4.95µm
_01_,4.92µm
count[1],4.73µm
_02_,4.58µm
net7,2.62µm
net8,2.04µm
